CNN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CO                 1    98.100     3.650     0.000     1.950     1.800
CO2                1   244.000     3.763     0.000     2.650     2.100
H                  0   145.000     2.050     0.000     0.000     0.000
H2C4O              2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2                 1    38.000     2.920     0.000     0.790   280.000
H2CCCCH            2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2CCCCH2           2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2CCCH             2   252.000     4.760     0.000     0.000     1.000 ! JAM
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
H2NO               2   116.700     3.492     0.000     0.000     1.000 ! JAM
H2O                2   572.400     2.605     1.844     0.000     4.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
HC2N2              1   349.000     4.361     0.000     0.000     1.000 ! OIS
HCCHCCH            2   357.000     5.180     0.000     0.000     1.000 ! JAM
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *
HCNN               2   150.000     2.500     0.000     0.000     1.000 ! *
HCCOH              2   436.000     3.970     0.000     0.000     2.000
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
HCO                2   498.000     3.590     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000 ! *
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
HNNO               2   232.400     3.828     0.000     0.000     1.000 ! *
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *
N                  0    71.400     3.298     0.000     0.000     0.000 ! *
N2                 1    97.530     3.621     0.000     1.760     4.000
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! *
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *
N2H4               2   205.000     4.230     0.000     4.260     1.500
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NCN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NH                 1    80.000     2.650     0.000     0.000     4.000
NH2                2    80.000     2.650     0.000     2.260     4.000
NH3                2   481.000     2.920     1.470     0.000    10.000
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
NO                 1    97.530     3.621     0.000     1.760     4.000
NCNO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
OH                 1    80.000     2.750     0.000     0.000     0.000

CH3HCO             2   436.000     3.970     0.000     0.000     2.000
C3H4P              1   252.000     4.760     0.000     0.000     1.000
C5H5               1   357.000     5.180     0.000     0.000     1.000
C5H6               1   357.000     5.180     0.000     0.000     1.000
A1-                2   412.300     5.349     0.000     0.000     1.000 ! JAM
A1                 2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5CH2            2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5CH3            2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5OH             2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5C3H2           2   412.300     5.349     0.000     0.000     1.000 ! JAM
P2-                2   412.300     5.349     0.000     0.000     1.000 ! JAM
P2                 2   412.300     5.349     0.000     0.000     1.000 ! JAM
A1C2H              2   412.300     5.349     0.000     0.000     1.000 ! JAM
A1C2HP2            2   412.300     5.349     0.000     0.000     1.000 ! JAM
A2-1               2   412.300     5.349     0.000     0.000     1.000 ! JAM

A2                 2   3036.00     3.550     0.000     0.000     1.000 ! JAM
A2C2HA             2   412.300     5.349     0.000     0.000     1.000 ! JAM
A2C2HP2            2   412.300     5.349     0.000     0.000     1.000 ! JAM
A2R5               2   412.300     5.349     0.000     0.000     1.000 ! JAM
A2R5-              2   412.300     5.349     0.000     0.000     1.000 ! JAM
IND                2   412.300     5.349     0.000     0.000     1.000 ! JAM

A3-4               2   412.300     5.349     0.000     0.000     1.000 ! JAM
A3                 2   3036.00     3.550     0.000     0.000     1.000 ! JAM
A3C2H              2   412.300     5.349     0.000     0.000     1.000 ! JAM

A4-                2   412.300     5.349     0.000     0.000     1.000 ! pyrene
A4                 2   3036.00     3.550     0.000     0.000     1.000 ! pyrene


BINi-01            2   3036.00     3.550     0.000     0.000     1.000 ! SI3
BINi-02            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-03            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-04            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-05            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-06            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-07            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-08            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-09            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-10            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-11            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-12            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-13            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-14            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-15            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-16            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-17            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-18            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-19            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINi-20            2   3036.00     3.550     0.000     0.000     1.000 ! JAM


BINj-01            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-02            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-03            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-04            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-05            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-06            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-07            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-08            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-09            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-10            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-11            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-12            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-13            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-14            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-15            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-16            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-17            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-18            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-19            2   3036.00     3.550     0.000     0.000     1.000 ! JAM
BINj-20            2   3036.00     3.550     0.000     0.000     1.000 ! JAM



